iter	Passed	Remaining
0	145	145583
1	147	73489
2	148	49310
3	149	37203
4	150	29936
5	151	25053
6	152	21573
7	152	18960
8	153	16942
9	154	15341
10	156	14040
11	157	12962
12	158	12039
13	159	11260
14	160	10560
15	161	9959
16	163	9431
17	163	8943
18	164	8509
19	165	8114
20	166	7759
21	167	7439
22	168	7149
23	169	6888
24	171	6669
25	172	6454
26	173	6247
27	174	6053
28	175	5872
29	176	5708
30	177	5549
31	178	5399
32	179	5257
33	180	5122
34	181	4993
35	181	4872
36	182	4761
37	184	4659
38	185	4564
39	186	4474
40	187	4388
41	188	4302
42	189	4218
43	190	4140
44	191	4067
45	192	3995
46	193	3922
47	194	3852
48	195	3788
49	196	3724
50	197	3667
51	198	3616
52	199	3567
53	200	3517
54	201	3468
55	202	3420
56	203	3372
57	204	3328
58	206	3287
59	207	3243
60	207	3200
61	208	3158
62	209	3116
63	210	3076
64	211	3038
65	212	3006
66	213	2975
67	215	2947
68	216	2917
69	217	2886
70	218	2856
71	219	2828
72	220	2800
73	221	2773
74	222	2746
75	223	2718
76	224	2690
77	225	2663
78	226	2635
79	227	2613
80	228	2594
81	230	2575
82	230	2551
83	232	2530
84	233	2508
85	233	2486
86	234	2464
87	235	2444
88	236	2424
89	237	2403
90	238	2383
91	239	2366
92	240	2348
93	241	2331
94	243	2317
95	244	2302
96	245	2285
97	246	2270
98	247	2254
99	248	2238
100	249	2223
101	250	2209
102	251	2193
103	252	2177
104	253	2161
105	254	2144
106	255	2129
107	255	2113
108	257	2101
109	258	2089
110	259	2077
111	260	2065
112	261	2052
113	262	2039
114	263	2025
115	264	2013
116	265	2000
117	266	1988
118	266	1975
119	267	1963
120	268	1950
121	269	1937
122	270	1925
123	271	1916
124	272	1907
125	273	1899
126	274	1888
127	275	1879
128	276	1869
129	277	1859
130	278	1849
131	279	1840
132	280	1831
133	282	1822
134	282	1812
135	283	1802
136	284	1792
137	285	1782
138	286	1774
139	287	1766
140	288	1757
141	289	1747
142	290	1739
143	291	1731
144	292	1723
145	293	1714
146	293	1705
147	294	1697
148	295	1688
149	296	1680
150	297	1673
151	298	1666
152	299	1658
153	300	1651
154	301	1645
155	303	1639
156	304	1633
157	305	1626
158	306	1619
159	307	1612
160	307	1603
161	308	1596
162	309	1590
163	310	1583
164	311	1575
165	312	1568
166	313	1561
167	313	1555
168	314	1548
169	315	1542
170	317	1537
171	318	1532
172	319	1526
173	320	1521
174	321	1515
175	322	1510
176	323	1504
177	324	1498
178	325	1492
179	326	1486
180	327	1480
181	328	1474
182	329	1469
183	330	1463
184	331	1459
185	332	1454
186	333	1450
187	334	1445
188	335	1440
189	336	1435
190	337	1430
191	338	1426
192	339	1421
193	340	1415
194	341	1410
195	342	1405
196	343	1399
197	344	1394
198	345	1390
199	346	1387
200	348	1383
201	349	1379
202	350	1374
203	351	1369
204	352	1365
205	353	1361
206	354	1356
207	355	1352
208	355	1347
209	356	1342
210	357	1337
211	358	1332
212	359	1328
213	360	1325
214	362	1322
215	363	1318
216	364	1315
217	365	1311
218	366	1307
219	367	1303
220	368	1299
221	369	1295
222	370	1291
223	371	1286
224	372	1282
225	373	1278
226	374	1274
227	375	1271
228	376	1268
229	378	1266
230	379	1263
231	380	1260
232	381	1257
233	383	1254
234	384	1251
235	385	1247
236	386	1243
237	387	1239
238	387	1235
239	388	1231
240	390	1229
241	391	1225
242	392	1222
243	393	1219
244	394	1216
245	395	1212
246	396	1209
247	397	1206
248	398	1202
249	399	1199
250	400	1195
251	401	1191
252	402	1188
253	403	1186
254	405	1184
255	406	1181
256	407	1178
257	408	1175
258	409	1172
259	410	1169
260	411	1166
261	412	1162
262	413	1158
263	414	1155
264	415	1152
265	416	1148
266	417	1145
267	418	1142
268	419	1140
269	421	1138
270	422	1136
271	423	1133
272	424	1131
273	425	1128
274	426	1125
275	428	1123
276	429	1120
277	430	1117
278	431	1114
279	432	1111
280	433	1109
281	434	1107
282	436	1105
283	437	1102
284	438	1099
285	439	1096
286	440	1093
287	441	1091
288	442	1088
289	443	1085
290	444	1082
291	445	1079
292	446	1076
293	447	1073
294	448	1071
295	450	1070
296	451	1069
297	452	1066
298	454	1066
299	456	1064
300	457	1061
301	458	1059
302	459	1056
303	460	1053
304	461	1051
305	462	1048
306	463	1046
307	464	1044
308	466	1043
309	467	1040
310	468	1038
311	469	1035
312	470	1033
313	471	1030
314	472	1028
315	473	1025
316	474	1022
317	475	1019
318	476	1016
319	477	1014
320	478	1012
321	480	1010
322	481	1008
323	482	1005
324	483	1003
325	484	1001
326	485	998
327	486	995
328	486	993
329	487	990
330	488	987
331	489	984
332	490	982
333	491	979
334	492	977
335	493	975
336	494	973
337	495	971
338	496	969
339	498	966
340	499	964
341	500	962
342	501	960
343	502	957
344	503	956
345	504	953
346	505	951
347	507	950
348	508	948
349	509	946
350	510	944
351	511	942
352	512	940
353	513	937
354	514	935
355	515	933
356	516	930
357	517	928
358	518	926
359	519	924
360	521	922
361	522	920
362	523	918
363	524	916
364	525	914
365	527	913
366	528	911
367	529	909
368	531	908
369	532	906
370	533	905
371	535	903
372	536	901
373	537	899
374	538	897
375	539	895
376	541	894
377	542	892
378	543	890
379	544	888
380	545	886
381	546	884
382	547	882
383	548	880
384	550	878
385	551	876
386	552	874
387	553	873
388	554	871
389	555	869
390	556	867
391	557	864
392	558	862
393	559	860
394	560	859
395	561	856
396	562	854
397	563	852
398	564	849
399	565	847
400	566	846
401	567	844
402	569	843
403	570	841
404	571	839
405	572	837
406	573	835
407	574	833
408	575	831
409	576	829
410	577	827
411	578	825
412	579	823
413	580	821
414	581	819
415	582	818
416	583	816
417	584	814
418	585	812
419	586	810
420	587	808
421	588	806
422	590	804
423	590	802
424	591	800
425	592	798
426	593	796
427	594	794
428	595	792
429	596	790
430	597	789
431	599	787
432	600	785
433	601	784
434	602	782
435	603	780
436	604	779
437	605	777
438	606	775
439	607	773
440	608	771
441	609	768
442	610	767
443	611	765
444	612	764
445	613	762
446	614	760
447	615	758
448	616	757
449	618	755
450	619	753
451	619	751
452	620	749
453	621	747
454	622	745
455	623	743
456	624	742
457	625	740
458	627	739
459	628	737
460	629	735
461	630	733
462	631	732
463	632	730
464	633	728
465	634	727
466	635	725
467	636	723
468	636	721
469	637	719
470	638	717
471	639	715
472	641	714
473	642	712
474	643	711
475	644	709
476	645	707
477	646	705
478	647	704
479	648	702
480	649	700
481	650	698
482	650	696
483	651	694
484	652	693
485	653	691
486	655	690
487	655	688
488	656	686
489	657	684
490	658	682
491	659	680
492	659	678
493	660	676
494	661	674
495	662	672
496	663	671
497	663	669
498	664	667
499	666	666
500	667	664
501	668	662
